Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,,,,,,,,,,,,,,,,,,,,,,,
0xf10363cbe945235094a0a5b83da578add91fabefd1a7324c722f6ad7ff2caeae,11045199,1602564494,10/13/2020 4:48,0xb983c078d816d196f62b3f6da0ae491fb23ac437,0xb4081d3daa9c86a8662475f4419fbaf96bee5d80,5016.166561,,0xa95ceec8bf6192f168496580e3c279a0bf4261f8eee95ea8e85a283ebec601f8,10882038,1600376638,9/17/2020 21:03,0xd4acfd4ff07d2454bc18a87c90360becd2b21659,0x1b8409c18b56fe081f0184535b0449289bdabcac,42.87673937,0x1b8409c18b56fe081f0184535b0449289bdabcac,42.87673937,1600376638,9/17/2020 21:03,0xd4acfd4ff07d2454bc18a87c90360becd2b21659,0x1b8409c18b56fe081f0184535b0449289bdabcac,42.87673937,0xc1b0fddb0eef37a88f9534797b063cc13c35aaf3602a9767cbd5c5bf894a12de,10876548,1600304528,9/17/2020 1:02,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,247.3685688,
0x9e3068730f98cd33e5f590cd557615ae9227fdcfb533ded37d2475d6ac177b58,11045495,1602568115,10/13/2020 5:48,0xef6ce0c725d5890654f18cc3c93dcf40fd428503,0xb4081d3daa9c86a8662475f4419fbaf96bee5d80,44.7853542,,0x00b3b8aa1851701fc283470315136e46eb09dbc66a71ba92b7f5b41a9f95bdc8,10884530,1600410317,9/18/2020 6:25,0xdf8b41ad19be76dd6bca360d4f78e25db35d4d8f,0x430615ce8e335c5ed2090f973138b401f293469f,59.94095181,0x430615ce8e335c5ed2090f973138b401f293469f,59.94095181,1600410317,9/18/2020 6:25,0xdf8b41ad19be76dd6bca360d4f78e25db35d4d8f,0x430615ce8e335c5ed2090f973138b401f293469f,59.94095181,0x60f69a2cab33e243eae19731219fdaf2588f88966125b503e82f42fa5ece6091,10876551,1600304546,9/17/2020 1:02,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,247.3685688,
0xba07e028e33492403357fbf92255ac8757759fba504a18b6951202cca583444d,11045715,1602570946,10/13/2020 6:35,0xd37bab2a0b607c3c2579eaeb676358506b7cd18a,0xb4081d3daa9c86a8662475f4419fbaf96bee5d80,979.6,,0x99e7577ea073064e51c5fbf74f01edfbf693ca3ea6b639cb26a01dd043ec2651,10884678,1600412460,9/18/2020 7:01,0x1b8409c18b56fe081f0184535b0449289bdabcac,0xe62028bece33cf9efb3d43a52621f0b16d3504ad,446.4540473,0xe62028bece33cf9efb3d43a52621f0b16d3504ad,446.4540473,1600412460,9/18/2020 7:01,0x1b8409c18b56fe081f0184535b0449289bdabcac,0xe62028bece33cf9efb3d43a52621f0b16d3504ad,446.4540473,0xf9ee0e7b9ae038f8679c1fb333463dcb2c3342c04e1e4b145867f3282ee49c5c,10881361,1600367285,9/17/2020 18:28,0x2b5634c42055806a59e9107ed44d43c426e58258,0x9e0db8050519646d4d0c2b2257cbbdc899746f57,160.0000006,
0x5778f8274d88e69bf3c03878dff0efb6188a7232fb3abd09eefa610c8167213c,11045964,1602574127,10/13/2020 7:28,0x0bfefa62d5a92f2f87b068edc62e29214c60e115,0xb4081d3daa9c86a8662475f4419fbaf96bee5d80,500,,0x8127dfb19bf1bf634d1f12eff2132c3b7f02e3b571aa4474ec00dceebdb79c15,10885238,1600420329,9/18/2020 9:12,0x1b8409c18b56fe081f0184535b0449289bdabcac,0x7a52407fc5af3f3cb1888d9893ab2dc55e287576,400,0x7a52407fc5af3f3cb1888d9893ab2dc55e287576,400,1600420329,9/18/2020 9:12,0x1b8409c18b56fe081f0184535b0449289bdabcac,0x7a52407fc5af3f3cb1888d9893ab2dc55e287576,400,0x887bdd2c07a9036d5c7b28d4187d2ee671d0c1ddb2ad7635f44fcb26bd0a5d45,10882018,1600376243,9/17/2020 20:57,0x1b8409c18b56fe081f0184535b0449289bdabcac,0xd4acfd4ff07d2454bc18a87c90360becd2b21659,219.0856557,
0x2584b71448d77229d687064fab48cec249c0f5f295c7451c22b2fa825098b000,11047952,1602600488,10/13/2020 14:48,0x4402f594fc3b65cb940b5ecbebe4b29300e4a380,0xb1711e80d23b421ad8c0c510659155e74e0bb74b,0.02385597,,0x24eaa5f79381c681256a86508486631a780c8b2c0a5ef50c11e77405f1926d5c,10885247,1600420461,9/18/2020 9:14,0x7a52407fc5af3f3cb1888d9893ab2dc55e287576,0x12b0742cbaff4f90e43d3eedf8037e6e3830bcab,400,0x12b0742cbaff4f90e43d3eedf8037e6e3830bcab,400,1600420461,9/18/2020 9:14,0x7a52407fc5af3f3cb1888d9893ab2dc55e287576,0x12b0742cbaff4f90e43d3eedf8037e6e3830bcab,400,0xa95ceec8bf6192f168496580e3c279a0bf4261f8eee95ea8e85a283ebec601f8,10882038,1600376638,9/17/2020 21:03,0xd4acfd4ff07d2454bc18a87c90360becd2b21659,0x1b8409c18b56fe081f0184535b0449289bdabcac,42.87673937,
0x155efbd802bb8ece078eec183f663ab051cbf7786a6f59e834ca510ae0a645e3,11048011,1602601353,10/13/2020 15:02,0x1b8409c18b56fe081f0184535b0449289bdabcac,0x847e54d996f2e3114daaa6154256de287bb5ff93,153.1180423,,0x2529dd1727adb48b9939021bde30fb486501c45bbbe02eff5baeb21c30f93710,10888054,1600457118,9/18/2020 19:25,0x1b8409c18b56fe081f0184535b0449289bdabcac,0xe62028bece33cf9efb3d43a52621f0b16d3504ad,350.7027486,0xe62028bece33cf9efb3d43a52621f0b16d3504ad,350.7027486,1600457118,9/18/2020 19:25,0x1b8409c18b56fe081f0184535b0449289bdabcac,0xe62028bece33cf9efb3d43a52621f0b16d3504ad,350.7027486,0x00b3b8aa1851701fc283470315136e46eb09dbc66a71ba92b7f5b41a9f95bdc8,10884530,1600410317,9/18/2020 6:25,0xdf8b41ad19be76dd6bca360d4f78e25db35d4d8f,0x430615ce8e335c5ed2090f973138b401f293469f,59.94095181,
Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,,0xe73f5da7e8b9de3512801ab04012e3b37fb1717aecfe95d9d176752e0c07cd63,10888280,1600460294,9/18/2020 20:18,0xc36aeb67c02ec0ecf8df72d63e2554e340a396f0,0xa747c5b463622897badb15241316a0bd8173f010,4002.286426,0xa747c5b463622897badb15241316a0bd8173f010,4002.286426,1600460294,9/18/2020 20:18,0xc36aeb67c02ec0ecf8df72d63e2554e340a396f0,0xa747c5b463622897badb15241316a0bd8173f010,4002.286426,0x99e7577ea073064e51c5fbf74f01edfbf693ca3ea6b639cb26a01dd043ec2651,10884678,1600412460,9/18/2020 7:01,0x1b8409c18b56fe081f0184535b0449289bdabcac,0xe62028bece33cf9efb3d43a52621f0b16d3504ad,446.4540473,
0xc1b0fddb0eef37a88f9534797b063cc13c35aaf3602a9767cbd5c5bf894a12de,10876548,1600304528,9/17/2020 1:02,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,247.3685688,,0xb46ac0c1e5c29c5d8e7fb345be7c5cff5e83a4f27116849904a3b4b9e74ec8f3,10888569,1600464248,9/18/2020 21:24,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,206.7407893,0x2e3381202988d535e8185e7089f633f7c9998e83,206.7407893,1600464248,9/18/2020 21:24,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,206.7407893,0x8127dfb19bf1bf634d1f12eff2132c3b7f02e3b571aa4474ec00dceebdb79c15,10885238,1600420329,9/18/2020 9:12,0x1b8409c18b56fe081f0184535b0449289bdabcac,0x7a52407fc5af3f3cb1888d9893ab2dc55e287576,400,
0x60f69a2cab33e243eae19731219fdaf2588f88966125b503e82f42fa5ece6091,10876551,1600304546,9/17/2020 1:02,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,247.3685688,,0xa0e3ac9540ef29b3ff77cb542a86a2d2344d82c9a72f3806e1c739ca84eaa660,10888571,1600464267,9/18/2020 21:24,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,206.7407893,0x1b8409c18b56fe081f0184535b0449289bdabcac,206.7407893,1600464267,9/18/2020 21:24,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,206.7407893,0x24eaa5f79381c681256a86508486631a780c8b2c0a5ef50c11e77405f1926d5c,10885247,1600420461,9/18/2020 9:14,0x7a52407fc5af3f3cb1888d9893ab2dc55e287576,0x12b0742cbaff4f90e43d3eedf8037e6e3830bcab,400,
0xf9ee0e7b9ae038f8679c1fb333463dcb2c3342c04e1e4b145867f3282ee49c5c,10881361,1600367285,9/17/2020 18:28,0x2b5634c42055806a59e9107ed44d43c426e58258,0x9e0db8050519646d4d0c2b2257cbbdc899746f57,160.0000006,,0xe49d7e7230e52f9bee525a817e06bd55b9c8c1e8cdf8a60dd74072db1dd46bb9,10888642,1600465154,9/18/2020 21:39,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,234.3063541,0x2e3381202988d535e8185e7089f633f7c9998e83,234.3063541,1600465154,9/18/2020 21:39,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,234.3063541,0x2529dd1727adb48b9939021bde30fb486501c45bbbe02eff5baeb21c30f93710,10888054,1600457118,9/18/2020 19:25,0x1b8409c18b56fe081f0184535b0449289bdabcac,0xe62028bece33cf9efb3d43a52621f0b16d3504ad,350.7027486,
0x887bdd2c07a9036d5c7b28d4187d2ee671d0c1ddb2ad7635f44fcb26bd0a5d45,10882018,1600376243,9/17/2020 20:57,0x1b8409c18b56fe081f0184535b0449289bdabcac,0xd4acfd4ff07d2454bc18a87c90360becd2b21659,219.0856557,,0x374ffa7c969a2dac12dda4e496ce10aae9d161cf202c1aadda4f3ec1e2dcb472,10888643,1600465171,9/18/2020 21:39,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,234.3063541,0x1b8409c18b56fe081f0184535b0449289bdabcac,234.3063541,1600465171,9/18/2020 21:39,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,234.3063541,0xe73f5da7e8b9de3512801ab04012e3b37fb1717aecfe95d9d176752e0c07cd63,10888280,1600460294,9/18/2020 20:18,0xc36aeb67c02ec0ecf8df72d63e2554e340a396f0,0xa747c5b463622897badb15241316a0bd8173f010,4002.286426,
0xa95ceec8bf6192f168496580e3c279a0bf4261f8eee95ea8e85a283ebec601f8,10882038,1600376638,9/17/2020 21:03,0xd4acfd4ff07d2454bc18a87c90360becd2b21659,0x1b8409c18b56fe081f0184535b0449289bdabcac,42.87673937,,0x51dc562f9f52b1b8d6fb9a53e47221988ddbdd7f1f1ce5278746897ead5ae0a0,10891785,1600506939,9/19/2020 9:15,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,228.4020074,0x2e3381202988d535e8185e7089f633f7c9998e83,228.4020074,1600506939,9/19/2020 9:15,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,228.4020074,0xb46ac0c1e5c29c5d8e7fb345be7c5cff5e83a4f27116849904a3b4b9e74ec8f3,10888569,1600464248,9/18/2020 21:24,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,206.7407893,
0x00b3b8aa1851701fc283470315136e46eb09dbc66a71ba92b7f5b41a9f95bdc8,10884530,1600410317,9/18/2020 6:25,0xdf8b41ad19be76dd6bca360d4f78e25db35d4d8f,0x430615ce8e335c5ed2090f973138b401f293469f,59.94095181,,0xfb93901f6a39007c1027f6d23ffbc6ab4216c9b8c4774c5301b9dd11e7fdc399,10891786,1600506953,9/19/2020 9:15,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,228.4020074,0x1b8409c18b56fe081f0184535b0449289bdabcac,228.4020074,1600506953,9/19/2020 9:15,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,228.4020074,0xa0e3ac9540ef29b3ff77cb542a86a2d2344d82c9a72f3806e1c739ca84eaa660,10888571,1600464267,9/18/2020 21:24,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,206.7407893,
0x99e7577ea073064e51c5fbf74f01edfbf693ca3ea6b639cb26a01dd043ec2651,10884678,1600412460,9/18/2020 7:01,0x1b8409c18b56fe081f0184535b0449289bdabcac,0xe62028bece33cf9efb3d43a52621f0b16d3504ad,446.4540473,,0x8190aebc3988c202d3b68f4741ca3c3eae02004c75115a19a38f9a77264ea7b0,10896612,1600570485,9/20/2020 2:54,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,218.6030022,0x2e3381202988d535e8185e7089f633f7c9998e83,218.6030022,1600570485,9/20/2020 2:54,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,218.6030022,0xe49d7e7230e52f9bee525a817e06bd55b9c8c1e8cdf8a60dd74072db1dd46bb9,10888642,1600465154,9/18/2020 21:39,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,234.3063541,
0x8127dfb19bf1bf634d1f12eff2132c3b7f02e3b571aa4474ec00dceebdb79c15,10885238,1600420329,9/18/2020 9:12,0x1b8409c18b56fe081f0184535b0449289bdabcac,0x7a52407fc5af3f3cb1888d9893ab2dc55e287576,400,,0x3dd7bcaa8cf1973b6a5ea45a3bf2b86a41c7a9cc5266cd1816f396cc7db68251,10896614,1600570503,9/20/2020 2:55,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,218.6030022,0x1b8409c18b56fe081f0184535b0449289bdabcac,218.6030022,1600570503,9/20/2020 2:55,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,218.6030022,0x374ffa7c969a2dac12dda4e496ce10aae9d161cf202c1aadda4f3ec1e2dcb472,10888643,1600465171,9/18/2020 21:39,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,234.3063541,
0x24eaa5f79381c681256a86508486631a780c8b2c0a5ef50c11e77405f1926d5c,10885247,1600420461,9/18/2020 9:14,0x7a52407fc5af3f3cb1888d9893ab2dc55e287576,0x12b0742cbaff4f90e43d3eedf8037e6e3830bcab,400,,0xc250f7410bd228cb5ada4d9fae49949b34b1a78b68181286f2d80f64ba30838c,10897016,1600575901,9/20/2020 4:25,0x430615ce8e335c5ed2090f973138b401f293469f,0x689c56aef474df92d44a1b70850f808488f9769c,59.94095181,0x689c56aef474df92d44a1b70850f808488f9769c,59.94095181,1600575901,9/20/2020 4:25,0x430615ce8e335c5ed2090f973138b401f293469f,0x689c56aef474df92d44a1b70850f808488f9769c,59.94095181,0x51dc562f9f52b1b8d6fb9a53e47221988ddbdd7f1f1ce5278746897ead5ae0a0,10891785,1600506939,9/19/2020 9:15,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,228.4020074,
0x2529dd1727adb48b9939021bde30fb486501c45bbbe02eff5baeb21c30f93710,10888054,1600457118,9/18/2020 19:25,0x1b8409c18b56fe081f0184535b0449289bdabcac,0xe62028bece33cf9efb3d43a52621f0b16d3504ad,350.7027486,,0x3474aadc9b33547049193af6f43b0e711868a895bffcacacb854b90e39ee402f,10897022,1600575970,9/20/2020 4:26,0xe62028bece33cf9efb3d43a52621f0b16d3504ad,0x689c56aef474df92d44a1b70850f808488f9769c,797.1567959,0x689c56aef474df92d44a1b70850f808488f9769c,797.1567959,1600575970,9/20/2020 4:26,0xe62028bece33cf9efb3d43a52621f0b16d3504ad,0x689c56aef474df92d44a1b70850f808488f9769c,797.1567959,0xfb93901f6a39007c1027f6d23ffbc6ab4216c9b8c4774c5301b9dd11e7fdc399,10891786,1600506953,9/19/2020 9:15,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,228.4020074,
0xe73f5da7e8b9de3512801ab04012e3b37fb1717aecfe95d9d176752e0c07cd63,10888280,1600460294,9/18/2020 20:18,0xc36aeb67c02ec0ecf8df72d63e2554e340a396f0,0xa747c5b463622897badb15241316a0bd8173f010,4002.286426,,0x987635028bd425aca929c0b32c8324613b827495d4dbf64254a48265909d66c7,10897068,1600576551,9/20/2020 4:35,0x12b0742cbaff4f90e43d3eedf8037e6e3830bcab,0x689c56aef474df92d44a1b70850f808488f9769c,400,0x689c56aef474df92d44a1b70850f808488f9769c,400,1600576551,9/20/2020 4:35,0x12b0742cbaff4f90e43d3eedf8037e6e3830bcab,0x689c56aef474df92d44a1b70850f808488f9769c,400,0x8190aebc3988c202d3b68f4741ca3c3eae02004c75115a19a38f9a77264ea7b0,10896612,1600570485,9/20/2020 2:54,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,218.6030022,
0xb46ac0c1e5c29c5d8e7fb345be7c5cff5e83a4f27116849904a3b4b9e74ec8f3,10888569,1600464248,9/18/2020 21:24,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,206.7407893,,0xe5ead91d91753ea9b22f0848185650da6e0a5d2d5439e27ba18b950406f04ccc,10897882,1600587427,9/20/2020 7:37,0xa747c5b463622897badb15241316a0bd8173f010,0x689c56aef474df92d44a1b70850f808488f9769c,4002.286426,0x689c56aef474df92d44a1b70850f808488f9769c,4002.286426,1600587427,9/20/2020 7:37,0xa747c5b463622897badb15241316a0bd8173f010,0x689c56aef474df92d44a1b70850f808488f9769c,4002.286426,0x3dd7bcaa8cf1973b6a5ea45a3bf2b86a41c7a9cc5266cd1816f396cc7db68251,10896614,1600570503,9/20/2020 2:55,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,218.6030022,
0xa0e3ac9540ef29b3ff77cb542a86a2d2344d82c9a72f3806e1c739ca84eaa660,10888571,1600464267,9/18/2020 21:24,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,206.7407893,,0x11c5e4066ab70de388a910a40ac467715bd824cc8ab80fd719602957b35c89ee,10898332,1600593707,9/20/2020 9:21,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,230.1282854,0x2e3381202988d535e8185e7089f633f7c9998e83,230.1282854,1600593707,9/20/2020 9:21,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,230.1282854,0xc250f7410bd228cb5ada4d9fae49949b34b1a78b68181286f2d80f64ba30838c,10897016,1600575901,9/20/2020 4:25,0x430615ce8e335c5ed2090f973138b401f293469f,0x689c56aef474df92d44a1b70850f808488f9769c,59.94095181,
0xe49d7e7230e52f9bee525a817e06bd55b9c8c1e8cdf8a60dd74072db1dd46bb9,10888642,1600465154,9/18/2020 21:39,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,234.3063541,,0x97981e7abda83d0a969d00c2535d079dd9dede634bba4290636296db4883737c,10898334,1600593716,9/20/2020 9:21,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,230.1282854,0x1b8409c18b56fe081f0184535b0449289bdabcac,230.1282854,1600593716,9/20/2020 9:21,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,230.1282854,0x3474aadc9b33547049193af6f43b0e711868a895bffcacacb854b90e39ee402f,10897022,1600575970,9/20/2020 4:26,0xe62028bece33cf9efb3d43a52621f0b16d3504ad,0x689c56aef474df92d44a1b70850f808488f9769c,797.1567959,
0x374ffa7c969a2dac12dda4e496ce10aae9d161cf202c1aadda4f3ec1e2dcb472,10888643,1600465171,9/18/2020 21:39,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,234.3063541,,0x2f11c080c4c9113743ef68ac703df96848ed193a980e436215d7778144abe134,10901004,1600628075,9/20/2020 18:54,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,151.3698366,0x2e3381202988d535e8185e7089f633f7c9998e83,151.3698366,1600628075,9/20/2020 18:54,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,151.3698366,0x987635028bd425aca929c0b32c8324613b827495d4dbf64254a48265909d66c7,10897068,1600576551,9/20/2020 4:35,0x12b0742cbaff4f90e43d3eedf8037e6e3830bcab,0x689c56aef474df92d44a1b70850f808488f9769c,400,
0x51dc562f9f52b1b8d6fb9a53e47221988ddbdd7f1f1ce5278746897ead5ae0a0,10891785,1600506939,9/19/2020 9:15,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,228.4020074,,0x49a610d98a215d8f211cab8130ddce9e6d1064d445ddb05fb51aaa1be562e097,10901006,1600628093,9/20/2020 18:54,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,151.3698366,0x1b8409c18b56fe081f0184535b0449289bdabcac,151.3698366,1600628093,9/20/2020 18:54,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,151.3698366,0xe5ead91d91753ea9b22f0848185650da6e0a5d2d5439e27ba18b950406f04ccc,10897882,1600587427,9/20/2020 7:37,0xa747c5b463622897badb15241316a0bd8173f010,0x689c56aef474df92d44a1b70850f808488f9769c,4002.286426,
0xfb93901f6a39007c1027f6d23ffbc6ab4216c9b8c4774c5301b9dd11e7fdc399,10891786,1600506953,9/19/2020 9:15,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,228.4020074,,0xe0bc868867eb82f5c466cbe5dbe56db242a30cc0fd2e65d74cf1dd5716d1c212,10901744,1600637781,9/20/2020 21:36,0x1b8409c18b56fe081f0184535b0449289bdabcac,0x288def8225b9e150dc8789e5291cfc5c7e35eb35,413.948966,0x288def8225b9e150dc8789e5291cfc5c7e35eb35,413.948966,1600637781,9/20/2020 21:36,0x1b8409c18b56fe081f0184535b0449289bdabcac,0x288def8225b9e150dc8789e5291cfc5c7e35eb35,413.948966,0x11c5e4066ab70de388a910a40ac467715bd824cc8ab80fd719602957b35c89ee,10898332,1600593707,9/20/2020 9:21,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,230.1282854,
0x8190aebc3988c202d3b68f4741ca3c3eae02004c75115a19a38f9a77264ea7b0,10896612,1600570485,9/20/2020 2:54,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,218.6030022,,0x7ad05facda72be3f551f039feccad9d5cd70c2ac79b472c7271e52c8c485201f,10901769,1600638090,9/20/2020 21:41,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,244.7602967,0x2e3381202988d535e8185e7089f633f7c9998e83,244.7602967,1600638090,9/20/2020 21:41,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,244.7602967,0x97981e7abda83d0a969d00c2535d079dd9dede634bba4290636296db4883737c,10898334,1600593716,9/20/2020 9:21,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,230.1282854,
0x3dd7bcaa8cf1973b6a5ea45a3bf2b86a41c7a9cc5266cd1816f396cc7db68251,10896614,1600570503,9/20/2020 2:55,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,218.6030022,,0xbbb9fa97724426f5f5d56f50aaf0b7654716819bb84d1dc5b8f27d30d3f2f6ac,10901771,1600638130,9/20/2020 21:42,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,244.7602967,0x1b8409c18b56fe081f0184535b0449289bdabcac,244.7602967,1600638130,9/20/2020 21:42,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,244.7602967,0x2f11c080c4c9113743ef68ac703df96848ed193a980e436215d7778144abe134,10901004,1600628075,9/20/2020 18:54,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,151.3698366,
0xc250f7410bd228cb5ada4d9fae49949b34b1a78b68181286f2d80f64ba30838c,10897016,1600575901,9/20/2020 4:25,0x430615ce8e335c5ed2090f973138b401f293469f,0x689c56aef474df92d44a1b70850f808488f9769c,59.94095181,,0x1c5756cda2d988bf7e14644514d2f5bba05ea80f174f8d2aaf0ede9fb3d9ec27,10901875,1600639608,9/20/2020 22:06,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,234.9380897,0x2e3381202988d535e8185e7089f633f7c9998e83,234.9380897,1600639608,9/20/2020 22:06,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2e3381202988d535e8185e7089f633f7c9998e83,234.9380897,0x49a610d98a215d8f211cab8130ddce9e6d1064d445ddb05fb51aaa1be562e097,10901006,1600628093,9/20/2020 18:54,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,151.3698366,
0x3474aadc9b33547049193af6f43b0e711868a895bffcacacb854b90e39ee402f,10897022,1600575970,9/20/2020 4:26,0xe62028bece33cf9efb3d43a52621f0b16d3504ad,0x689c56aef474df92d44a1b70850f808488f9769c,797.1567959,,0x58c7ec3278dbcd7e1fbf9518e75fa5e5d58731d6b1e9f4b0df6675eed57e9c16,10901877,1600639646,9/20/2020 22:07,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,234.9380897,0x1b8409c18b56fe081f0184535b0449289bdabcac,234.9380897,1600639646,9/20/2020 22:07,0x2e3381202988d535e8185e7089f633f7c9998e83,0x1b8409c18b56fe081f0184535b0449289bdabcac,234.9380897,0xe0bc868867eb82f5c466cbe5dbe56db242a30cc0fd2e65d74cf1dd5716d1c212,10901744,1600637781,9/20/2020 21:36,0x1b8409c18b56fe081f0184535b0449289bdabcac,0x288def8225b9e150dc8789e5291cfc5c7e35eb35,413.948966,
